year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage
2016,600000,150000,2,1,1,1,26.59
2016,565000,72000,1,2,2,1,19.1
2017,725000,110000,2,1,1,1,22.54
2019,615000,10000,1,1,1,1,21.21
2016,270000,100000,1,1,1,3,15.37
2018,610000,35000,1,1,1,1,21.4
2020,400000,5000,1,1,1,2,19.0
2017,866000,37800,1,1,1,1,17.0
2019,1700000,32000,2,1,1,1,15.1
2016,375000,100000,2,1,1,1,19.09
2020,475000,13000,1,1,1,1,21.63
2016,780000,60000,2,1,1,1,24.3
2017,595000,40000,1,1,1,1,20.85
2017,440000,35000,1,1,1,1,20.51
2016,1140000,50000,2,1,1,1,19.67
2017,850000,76139,2,1,1,1,23.0
2018,350000,25000,1,1,1,1,23.01
2015,360000,40000,1,1,1,2,23.1
2015,700000,110000,2,1,1,2,20.77
2019,690000,1303,1,2,1,1,17.8
2018,3975000,31800,2,2,2,1,17.01
2019,5150000,20000,1,2,2,1,22.37
2017,3200000,45000,2,2,2,1,19.33
2017,4100000,17000,1,1,2,1,9.5
2019,4500000,21000,2,2,2,1,12.83
2017,6000000,37000,2,2,2,1,13.5
2018,3790000,29500,2,2,2,1,22.48
2019,5800000,7500,2,2,2,1,16.78
2018,1864999,50000,1,2,2,1,14.67
2016,2700000,35000,2,2,2,1,15.0
2019,1750000,19000,1,2,2,1,13.96
2017,795000,41000,1,2,2,1,18.0
2018,3400000,22000,2,2,2,1,18.0
2015,2650000,53000,2,2,2,1,12.07
2015,535000,40000,2,2,1,1,26.21
2017,5850000,47000,2,2,2,1,13.5
2016,805000,49900,1,2,1,1,16.3
2017,2625000,9000,2,2,2,1,13.6
2018,811000,11000,1,2,1,1,17.0
2016,645000,11000,1,2,2,1,14.3
2018,2550000,18000,1,2,2,1,15.04
2017,2700000,16000,1,2,2,1,14.74
2017,875000,18000,1,2,2,1,15.6
2019,894999,9654,1,2,2,1,19.56
2016,1525000,42163,2,2,2,2,11.36
2018,1025000,8000,2,2,2,1,21.5
2016,2150000,30000,2,2,2,1,22.69
2016,1900000,41000,1,2,2,1,19.16
2016,2900000,12000,2,2,2,1,18.12
2016,850000,20000,1,1,1,1,17.5
2017,10000000,30000,1,1,2,1,42.0
2018,575000,9500,1,1,1,1,18.16
2015,515000,36600,1,1,1,1,20.4
2015,390000,50000,1,1,2,2,20.51
2016,550000,14000,1,1,1,2,18.6
2015,425000,70000,1,1,1,1,18.9
2019,480000,13000,1,1,1,1,19.44
2016,386000,44000,1,1,1,2,19.1
2016,450000,15000,1,1,1,2,18.15
2017,490000,90000,2,1,1,1,22.95
2016,459999,60000,1,1,1,2,20.85
2020,720000,5000,1,1,1,1,18.6
2017,800000,37000,2,1,1,1,28.09
2019,520000,14000,1,1,1,1,20.3
2015,580000,70000,2,1,1,1,20.77
2015,600000,50000,1,1,1,1,17.4
2017,550000,50000,1,1,1,1,20.85
2018,420000,35000,1,1,2,1,20.51
2017,550000,20000,1,1,1,1,21.21
2018,270000,20000,1,1,1,1,24.7
2018,700000,7800,1,1,2,1,22.0
2017,500000,20000,1,1,1,1,20.4
2019,1250000,15000,2,1,1,1,17.6
2018,700000,50000,2,1,1,1,28.4
2015,290000,60000,1,1,1,1,20.51
2018,830000,5000,1,1,2,1,21.4
2017,800000,60000,2,1,1,1,14.1
2018,335000,30000,1,1,1,1,25.17
2017,329000,80000,1,1,1,2,20.63
2017,775000,75000,2,1,1,1,24.3
2020,524000,32000,1,1,1,1,20.14
2015,245000,40000,1,1,1,1,22.74
2018,520000,60000,1,1,1,1,17.57
2018,910000,15000,1,1,1,1,17.0
2015,300000,80000,1,1,1,1,19.49
2016,350000,140000,1,1,1,1,20.51
2017,1100000,37000,2,1,1,1,19.67
2016,270000,44000,1,1,1,1,25.17
2015,640000,80000,2,1,1,1,20.77
2015,650000,125000,2,1,1,1,15.1
2017,409999,13500,1,1,1,1,15.37
2019,680000,15000,1,1,2,1,19.0
2016,1000000,70000,2,1,1,1,24.52
2015,350000,100000,1,1,1,1,20.4
2017,800000,39000,2,1,1,1,22.54
2017,500000,75000,2,1,1,1,26.8
2017,1380000,50000,2,1,2,1,17.6
2019,1300000,40000,2,1,1,1,17.3
2015,725000,50000,2,1,1,2,26.0
2017,550000,2000,2,1,1,2,25.4
2016,380000,70000,2,1,1,1,27.28
2019,610000,2000,1,1,1,1,18.6
2015,525000,20000,1,1,1,1,20.85
2017,780000,35000,2,1,1,1,16.55
2019,300000,40000,1,1,1,1,19.02
2015,500000,75000,2,1,1,1,14.07
2017,350000,120000,2,1,1,1,27.28
2015,380000,40000,1,1,1,1,17.57
2015,465000,63063,1,2,2,1,18.9
2018,4600000,7976,2,1,2,1,17.9
2016,220000,35000,1,1,1,1,16.8
2017,450000,35000,1,1,1,1,18.9
2017,450000,35000,1,1,1,1,18.9
2016,520000,20000,1,1,1,1,20.4
2015,525000,50000,1,1,1,1,17.19
2019,675000,16500,1,1,1,1,21.01
2017,650000,25000,2,1,1,1,26.59
2015,395000,80000,2,1,1,2,24.0
2018,645000,10000,1,1,2,1,20.3
2017,1300000,30000,2,1,1,1,25.6
2017,1250000,33000,2,1,1,1,25.6
2016,229999,40000,1,1,1,1,25.17
2017,409999,47000,1,1,1,1,20.51
2018,1210000,25000,2,1,1,1,21.38
2017,400000,26000,1,1,1,1,23.84
2018,520000,29000,2,1,1,1,24.0
2016,650000,50000,1,1,2,1,21.4
2017,351000,36000,1,1,1,1,23.1
2019,1090000,16500,1,2,1,1,17.0
2017,1100000,67000,2,1,2,1,17.01
2018,610000,52000,1,2,1,1,22.0
2016,335000,40000,1,2,1,1,20.63
2015,434999,40000,1,2,1,1,18.9
2018,3000000,35000,2,1,1,1,14.24
2018,390000,13000,1,2,1,1,20.71
2019,640000,10000,1,2,1,1,17.0
2016,550000,60000,2,1,1,2,26.59
2016,300000,30000,1,1,1,1,25.17
2016,800000,70000,1,1,2,1,16.34
2017,2625000,9000,2,2,2,1,13.6
2019,5150000,20000,1,2,2,1,22.37
2017,3200000,45000,2,2,2,1,19.33
2015,503000,110000,2,1,1,1,14.1
2019,3800000,20000,2,1,2,1,18.0
2018,740000,38817,2,2,1,1,27.39
2018,600000,69779,1,2,2,1,22.0
2017,450000,56290,2,2,1,1,24.0
2019,5400000,7500,2,2,2,1,16.78
2019,5500000,8500,2,2,2,1,16.78
2016,645000,11000,1,2,2,1,14.3
2018,2475000,2000,2,2,2,1,16.8
2015,480000,90000,2,1,1,1,26.59
2016,240000,50000,1,1,1,1,22.74
2018,1085000,1000,1,1,2,1,18.0
2017,750000,19000,2,1,2,1,28.4
2016,1290000,50000,2,1,2,1,16.0
2018,325000,100000,1,1,1,1,23.84
2017,2625000,9000,2,2,2,1,13.6
2019,5150000,20000,1,2,2,1,22.37
2017,3200000,45000,2,2,2,1,19.33
2015,503000,110000,2,1,1,1,14.1
2019,3800000,20000,2,1,2,1,18.0
2018,740000,38817,2,2,1,1,27.39
2018,600000,69779,1,2,2,1,22.0
2017,450000,56290,2,2,1,1,24.0
2019,5400000,7500,2,2,2,1,16.78
2019,5500000,8500,2,2,2,1,16.78
2016,645000,11000,1,2,2,1,14.3
2018,2475000,2000,2,2,2,1,16.8
2019,700000,40000,2,1,2,1,23.8
2017,950000,45000,2,1,1,1,21.38
2015,409999,135000,2,1,1,2,24.4
2015,840000,120000,2,1,1,2,12.99
2017,900000,50000,2,1,1,1,28.4
2015,520000,110000,2,1,1,2,20.14
2016,600000,47000,2,1,1,1,25.2
2015,409999,93000,1,1,1,1,19.1
2015,292000,70000,2,1,1,1,20.0
2016,550000,44000,1,1,1,1,18.16
2016,800000,25000,1,1,1,1,15.29
2019,675000,10000,1,1,1,1,21.21
2018,1525000,50000,2,1,1,1,17.6
2018,950000,30000,2,1,1,1,23.0
2015,610000,50000,2,1,1,2,21.19
2019,700000,40000,2,1,2,1,23.8
2015,375000,80000,2,1,1,1,15.96
2015,580000,90000,2,1,1,1,20.45
2015,434999,50000,1,1,1,2,20.4
2020,350000,2136,1,1,1,1,22.5
2015,600000,35000,1,1,1,1,18.6
2015,1050000,120000,2,1,1,1,12.99
2017,735000,70000,2,1,1,1,27.39
2018,1050000,18000,2,2,1,1,19.6
2016,420000,110000,2,1,1,2,18.2
2017,800000,60000,2,1,1,1,23.65
2015,2000000,60000,2,1,2,1,12.55
2016,600000,147000,2,1,1,2,26.59
2015,1900000,130000,2,1,2,1,12.55
2016,370000,35000,1,1,1,1,19.49
2016,280000,100000,2,1,1,1,25.32
2015,560000,119000,2,1,1,1,23.9
2016,750000,80000,2,1,1,1,24.52
2017,585000,90000,2,1,1,1,25.2
2016,760000,20000,1,1,1,1,17.01
2020,480000,44665,2,1,1,1,25.32
2019,643000,10000,2,1,1,1,20.8
2018,500000,60000,1,1,1,1,20.14
2016,425000,22000,1,1,1,1,18.5
2016,285000,70000,2,1,1,1,27.62
2015,400000,40000,1,1,2,1,18.9
2019,700000,30000,2,1,1,1,28.4
2016,660000,34000,1,1,1,2,17.5
2017,268000,25000,1,1,1,1,24.7
2016,270000,50000,1,1,1,1,22.74
2017,450000,90000,1,1,1,1,23.84
2016,561000,30000,2,1,1,1,26.59
2018,755000,15000,2,1,1,1,28.4
2017,235000,25000,1,1,1,1,22.7
2016,540000,38000,1,1,1,1,18.6
2016,270000,100000,1,1,1,3,15.37
2015,200000,50000,1,1,1,1,18.6
2017,425000,42000,1,1,1,1,23.84
2016,400000,30000,1,1,1,1,18.2
2018,1600000,14000,2,1,1,1,17.1
2015,900000,22000,1,1,1,1,17.4
2018,801000,20000,1,1,1,1,18.6
2015,600000,40000,1,1,1,2,16.02
2017,320000,15000,1,1,1,2,21.1
2015,220000,80000,1,1,1,1,18.2
2015,340000,110000,1,1,1,1,17.57
2015,236000,60000,1,1,1,1,22.74
2015,390000,40000,1,1,1,1,20.51
2015,503000,110000,2,1,1,1,14.1
2017,775000,32000,2,2,1,1,24.3
2016,1800000,30000,2,1,2,1,11.36
2016,850000,58000,2,1,1,1,19.67
2018,750000,5000,2,1,1,1,24.3
2018,570000,25000,1,1,1,1,18.6
2018,580000,32000,1,1,1,1,18.9
2016,484999,30000,1,1,1,1,18.7
2017,700000,43000,1,2,1,1,15.4
2015,325000,50000,1,1,2,1,19.34
2018,550000,14200,1,1,1,1,18.16
2017,300000,10000,1,1,1,1,21.1
2018,217000,25000,1,1,1,1,22.7
2018,700000,19100,1,1,1,1,19.0
2018,670000,35000,2,1,1,1,22.71
2018,500000,20000,1,1,1,2,18.9
2016,675000,52000,2,1,1,1,23.65
2017,1650000,50000,2,1,1,1,17.1
2015,300000,101500,2,1,1,2,21.14
2016,1100000,100000,2,1,1,1,15.4
2016,250000,50000,1,1,1,2,24.7
2020,730000,1500,1,1,1,1,21.21
2015,400000,40000,1,1,1,1,20.51
2015,280000,60000,1,1,1,2,21.1
2016,375000,53319,2,2,1,1,25.44
2017,700000,40906,2,2,1,1,21.66
2016,300000,66693,1,2,1,1,25.17
2015,1350000,94385,2,2,1,1,12.99
2015,500000,150546,1,2,1,1,22.0
2015,555000,20000,1,1,1,2,15.8
2018,580000,30000,1,1,2,1,18.9
2016,260000,60000,2,1,1,1,19.09
2016,350000,25000,1,1,1,1,23.01
2017,655000,126000,2,1,1,1,18.49
2015,370000,170000,2,1,1,1,26.59
2017,800000,100000,2,1,1,2,24.52
2019,550000,10000,1,1,1,1,24.0
2017,220000,40000,1,1,1,1,16.8
2015,299000,16500,1,1,1,1,17.57
2017,300000,30000,1,1,1,1,23.95
2017,720000,80000,2,1,1,1,24.52
2016,650000,50000,2,1,1,3,14.1
2016,300000,25000,1,1,1,1,23.95
2019,750000,20000,2,1,1,1,24.0
2016,260000,60000,1,1,1,1,25.17
2015,250000,52000,1,1,1,1,23.95
2015,235000,50000,1,1,1,1,21.1
2016,1100000,60000,2,1,1,1,15.4
2019,360000,25000,1,1,1,1,23.95
2016,650000,125000,2,1,1,1,22.77
2016,350000,80000,1,1,1,1,20.51
2017,700000,70000,2,1,1,1,15.96
2017,450000,50000,2,1,1,1,22.95
2016,630000,101000,2,1,1,1,16.55
2017,2625000,9000,2,2,2,1,13.6
2019,5150000,20000,1,2,2,1,22.37
2017,3200000,45000,2,2,2,1,19.33
2015,503000,110000,2,1,1,1,14.1
2019,3800000,20000,2,1,2,1,18.0
2018,740000,38817,2,2,1,1,27.39
2018,600000,69779,1,2,2,1,22.0
2017,450000,56290,2,2,1,1,24.0
2019,5400000,7500,2,2,2,1,16.78
2019,5500000,8500,2,2,2,1,16.78
2016,645000,11000,1,2,2,1,14.3
2018,2475000,2000,2,2,2,1,16.8
2015,634000,165000,2,1,1,1,18.49
2018,950000,77800,2,1,1,1,25.1
2015,730000,100000,2,1,1,1,18.49
2016,350000,80000,1,1,1,2,19.1
2018,535000,21000,1,1,1,2,18.15
2018,455000,100000,1,1,1,2,19.0
2019,655000,25000,1,1,1,1,21.21
2019,800000,30000,2,1,1,3,23.0
2018,1100000,25000,1,1,2,1,17.8
2016,3000000,40000,2,1,2,1,13.0
2018,340000,51492,1,1,1,1,18.15
2016,370000,60000,1,1,1,1,18.16
2015,320000,50000,1,1,1,2,20.51
2015,350000,52000,2,1,1,1,19.09
2017,680000,40000,2,1,1,1,28.4
2016,300000,50000,1,1,1,1,23.01
2015,590000,40000,2,1,1,2,18.49
2015,290000,17000,1,1,1,1,21.1
2016,395000,50000,1,1,1,1,23.1
2015,715000,50000,2,1,1,1,22.54
2019,600000,10000,1,1,1,1,18.6
2019,875000,25000,2,1,1,1,18.49
2017,385000,30000,1,1,1,1,20.63
2016,300000,40000,1,1,1,1,18.15
2016,550000,120000,2,1,1,1,15.96
2017,550000,70000,2,1,1,2,24.4
2018,500000,10000,1,1,1,1,20.14
2019,700000,6000,1,1,1,1,19.0
2018,531000,20000,1,1,2,1,18.9
2017,300000,35000,1,1,1,1,23.01
2015,450000,30000,1,1,1,1,20.4
2017,1625000,54000,2,1,1,1,16.0
2018,450000,30000,1,1,1,1,18.9
2017,360000,50000,2,1,1,1,27.28
2020,390000,6000,1,1,1,1,23.95
2017,565000,80000,1,1,1,1,18.16
2016,700000,110000,2,1,1,2,24.3
2019,600000,20000,1,1,1,1,18.9
2016,600000,120000,2,1,1,1,15.96
2015,425000,91500,2,1,1,2,24.0
2017,490000,80000,1,1,1,1,17.8
2015,680000,90000,2,1,1,1,15.4
2016,298000,70000,1,1,1,1,23.95
2017,500000,20000,1,1,1,1,18.9
2019,681000,10000,1,1,1,1,19.0
2017,229999,80000,1,1,1,1,22.7
2019,720000,10000,1,1,1,1,19.0
2016,409999,60000,2,1,1,2,12.2
2015,300000,15000,1,1,1,1,20.62
2018,400000,60000,1,1,1,1,23.01
2016,420000,70000,2,1,1,1,18.2
2015,430000,5000,1,1,1,1,20.51
2017,573000,30000,1,1,1,1,20.4
2015,210000,40000,1,1,1,1,21.1
2015,600000,60000,2,1,1,1,19.01
2019,550000,15000,1,1,1,1,20.3
2019,800000,10000,2,1,1,1,27.4
2015,630000,35000,1,1,1,1,18.6
2016,190000,70000,1,1,1,2,16.8
2016,500000,70000,2,1,1,2,25.8
2016,660000,60000,1,1,1,1,21.4
2017,1050000,60000,2,1,1,1,19.67
2017,525000,70000,1,1,1,1,20.85
2017,850000,35000,2,1,1,1,23.9
2016,1165000,50000,2,1,1,1,16.0
2015,241000,15000,1,1,1,1,22.74
2015,235000,20000,1,1,1,1,22.74
2015,615000,80000,2,1,1,1,22.77
2017,400000,140000,2,1,1,1,14.07
2015,360000,20000,1,1,1,1,19.81
2019,550000,15000,1,1,1,1,18.9
2016,327000,20000,1,1,1,1,18.15
2016,425000,15000,1,1,1,1,19.81
2017,620000,107000,2,1,1,1,28.4
2015,204999,43000,1,1,1,2,20.3
2017,625000,43000,2,1,1,1,28.4
2017,300000,35000,1,1,1,1,23.01
2018,220000,10000,1,1,1,1,16.8
2016,576000,35000,1,1,1,1,18.6
2016,265000,50000,1,1,1,1,25.17
2017,420000,110000,2,1,1,1,24.7
2015,750000,14000,2,1,1,1,20.77
2017,290000,28000,1,1,1,1,25.17
2017,695000,50000,2,1,1,1,26.59
2015,1050000,60000,2,1,1,1,21.43
2016,500000,40000,1,1,1,1,18.6
2016,400000,140000,2,1,1,2,14.02
2015,350000,25000,1,1,1,1,23.1
2019,580000,12000,1,1,1,1,20.0
2016,750000,120000,2,1,1,1,11.0
2016,261000,90000,1,1,1,1,25.17
2015,371000,40000,1,1,1,1,18.2
2016,625000,90000,2,1,1,2,15.96
2017,1300000,50000,2,1,1,2,15.4
2015,900000,168000,2,1,1,1,20.6
2017,900000,40000,2,1,1,1,25.5
2017,750000,40000,2,1,1,1,24.3
2019,750000,30000,1,1,1,1,18.6
2018,580000,32000,1,1,1,1,18.9
2015,270000,43000,1,1,1,1,21.1
2017,280000,80000,2,1,1,1,22.95
2018,710000,70000,2,1,1,1,24.0
2017,300000,60000,1,1,1,1,20.62
2016,700000,120000,2,1,1,1,18.49
2020,370000,15000,1,1,1,1,22.05
2018,340000,10000,1,1,1,1,25.17
2019,1040000,1620,1,1,1,1,19.01
2018,750000,30000,2,1,1,1,21.19
2018,600000,70000,2,1,1,1,18.49
2016,550000,70000,2,1,1,1,15.96
2017,550000,50000,2,1,1,1,24.7
2015,750000,160000,2,1,1,1,25.1
2019,450000,10000,1,1,1,1,20.3
2016,520000,50000,2,1,1,2,25.2
2016,540000,80000,2,1,1,3,21.19
2019,1000000,15000,2,1,1,1,22.1
2015,240000,55000,2,1,1,1,25.44
2019,675000,5000,1,1,1,1,21.21
2016,535000,50000,2,1,1,1,19.87
2019,675000,5000,1,1,1,1,20.0
2016,800000,90000,2,1,1,1,24.3
2015,850000,90000,2,1,1,1,15.1
2017,850000,63186,2,1,1,1,22.54
2019,675000,5000,1,1,2,1,21.4
2015,550000,23000,2,1,1,1,25.2
2018,1745000,10000,2,1,2,1,11.36
2016,400000,68000,1,1,1,1,19.4
2015,650000,100000,2,1,1,1,22.54
2015,650000,80000,2,1,1,1,22.54
2018,811000,100000,2,1,1,1,28.4
2018,1100000,60000,1,1,1,1,17.0
2015,715000,70000,2,1,1,1,15.4
2016,330000,20000,1,1,1,1,25.17
2018,950000,57000,2,1,1,2,25.1
2019,900000,8079,2,2,1,1,24.7
2015,1325000,114368,2,2,1,2,12.99
2016,600000,155201,2,2,1,1,26.1
2019,1100000,10000,1,1,1,1,17.0
2017,520000,20000,1,1,1,1,23.84
2015,885000,170000,2,1,1,1,15.4
2018,950000,40000,2,1,2,1,21.5
2017,425000,40000,1,1,1,2,23.1
2017,1125000,105000,2,1,1,1,21.38
2015,760000,70000,2,1,1,3,25.1
2019,757000,25000,2,1,1,1,28.4
2015,270000,53000,1,1,1,2,22.74
2016,450000,100000,2,1,1,2,24.2
2018,650000,6000,1,1,1,1,18.15
2019,600000,10000,1,1,2,1,21.21
2019,290000,21000,1,1,1,1,25.17
2016,250000,22000,1,1,1,1,25.17
2017,750000,50000,2,1,1,1,24.52
2016,250000,20000,1,1,1,2,23.95
2017,950000,15000,1,1,2,1,15.4
2018,793000,30000,2,1,1,1,25.83
2015,750000,74000,2,1,1,1,19.67
2017,725000,6550,1,1,2,1,18.2
2016,480000,30000,2,1,1,1,24.0
2018,795000,41779,1,2,1,1,21.21
2016,625000,54000,1,2,1,1,18.7
2016,2900000,31000,2,2,2,1,13.0
2017,625000,37000,2,1,2,1,26.8
2018,1400000,13534,1,2,1,1,14.28
2017,1450000,7000,1,2,2,2,14.53
2017,2700000,23000,2,2,2,1,17.9
2019,1925000,43000,2,2,2,1,11.36
2020,1900000,5000,2,2,2,1,17.8
2017,844999,70000,2,2,1,1,28.09
2016,650000,99000,2,2,2,1,21.66
2018,750000,15000,1,2,1,1,22.0
2018,6000000,28156,2,2,2,1,17.09
2015,610000,30000,1,2,1,1,18.7
2018,2940000,100000,2,2,2,1,12.9
2017,1150000,63309,2,2,1,1,19.67
2016,1825000,94000,2,2,2,1,11.36
2018,890000,29000,1,2,2,1,17.4
2017,2625000,9000,2,2,2,1,13.6
2019,5150000,20000,1,2,2,1,22.37
2017,3200000,45000,2,2,2,1,19.33
2015,503000,110000,2,1,1,1,14.1
2019,3800000,20000,2,1,2,1,18.0
2018,740000,38817,2,2,1,1,27.39
2018,600000,69779,1,2,2,1,22.0
2017,450000,56290,2,2,1,1,24.0
2019,5400000,7500,2,2,2,1,16.78
2019,5500000,8500,2,2,2,1,16.78
2016,645000,11000,1,2,2,1,14.3
2018,2475000,2000,2,2,2,1,16.8
2017,2625000,9000,2,2,2,1,13.6
2019,5150000,20000,1,2,2,1,22.37
2017,3200000,45000,2,2,2,1,19.33
2015,503000,110000,2,1,1,1,14.1
2019,3800000,20000,2,1,2,1,18.0
2018,740000,38817,2,2,1,1,27.39
2018,600000,69779,1,2,2,1,22.0
2017,450000,56290,2,2,1,1,24.0
2019,5400000,7500,2,2,2,1,16.78
2019,5500000,8500,2,2,2,1,16.78
2016,645000,11000,1,2,2,1,14.3
2018,2475000,2000,2,2,2,1,16.8
2017,2625000,9000,2,2,2,1,13.6
2019,5150000,20000,1,2,2,1,22.37
2017,3200000,45000,2,2,2,1,19.33
2015,503000,110000,2,1,1,1,14.1
2019,3800000,20000,2,1,2,1,18.0
2018,740000,38817,2,2,1,1,27.39
2018,600000,69779,1,2,2,1,22.0
2017,450000,56290,2,2,1,1,24.0
2019,5400000,7500,2,2,2,1,16.78
2019,5500000,8500,2,2,2,1,16.78
2016,645000,11000,1,2,2,1,14.3
2018,2475000,2000,2,2,2,1,16.8
2017,2625000,9000,2,2,2,1,13.6
2019,5150000,20000,1,2,2,1,22.37
2017,3200000,45000,2,2,2,1,19.33
2015,503000,110000,2,1,1,1,14.1
2019,3800000,20000,2,1,2,1,18.0
2018,740000,38817,2,2,1,1,27.39
2018,600000,69779,1,2,2,1,22.0
2017,450000,56290,2,2,1,1,24.0
2019,5400000,7500,2,2,2,1,16.78
2019,5500000,8500,2,2,2,1,16.78
2016,645000,11000,1,2,2,1,14.3
2018,2475000,2000,2,2,2,1,16.8
2017,385000,155000,2,1,1,1,25.0
2016,400000,35000,1,1,2,1,23.1
2018,550000,50000,2,1,1,1,24.0
2016,310000,11500,1,1,1,1,25.17
2019,700000,3000,2,1,1,1,25.4
2015,480000,80000,2,1,1,2,22.1
2015,350000,90000,2,1,1,1,23.2
2017,600000,100000,2,1,1,1,23.65
2018,770000,50000,2,1,1,1,24.3
2016,750000,71000,2,1,1,1,18.49
2016,340000,40000,1,1,1,1,20.51
2018,650000,31800,1,1,1,1,18.6
2017,650000,5000,1,1,1,1,18.16
2017,280000,50000,1,1,1,2,21.1
2017,780000,40000,2,1,1,1,24.3
2015,1050000,90000,2,1,1,1,15.4
2016,550000,80000,2,1,1,2,15.96
2016,650000,50000,2,1,2,1,17.45
2018,530000,60000,2,1,1,1,25.4
2017,610000,15000,1,1,1,1,22.0
2018,560000,26300,1,1,1,1,23.84
2017,711000,35000,2,1,1,1,28.4
2015,511000,30000,1,1,1,1,20.85
2015,325000,50000,1,1,1,1,17.57
2017,650000,70000,1,1,1,2,17.5
2017,290000,50000,1,1,1,1,23.01
2017,1100000,20000,2,1,1,1,14.1
2015,600000,110000,2,1,1,1,26.21
2017,340000,25000,1,1,1,1,25.17
2019,395000,10000,1,1,1,1,25.17
2015,310000,72000,1,1,1,1,15.37
2015,225000,120000,1,1,1,2,21.1
2018,1000000,50000,2,1,1,1,28.09
2019,720000,16000,1,1,2,1,17.4
2015,500000,126000,2,1,1,1,21.19
2019,570000,15000,1,1,1,1,20.14
2016,392000,38000,1,1,1,1,15.37
2017,595000,120000,1,1,1,1,15.4
2018,833000,35000,2,1,2,1,24.3
2017,400000,65000,1,1,1,2,20.51
2015,650000,84000,2,1,1,1,28.09
2017,880000,65000,2,1,1,1,19.98
2015,200000,50000,1,1,1,1,25.17
2019,480000,25000,1,1,1,1,20.52
2018,700000,6000,1,1,1,1,18.6
2016,850000,72113,2,1,1,1,21.9
2017,650000,8000,1,1,1,1,18.6
2018,1030000,25000,2,1,1,1,25.1
2018,800000,30000,2,1,1,1,21.19
2015,600000,90000,2,1,1,1,22.77
2017,625000,50000,2,1,1,1,25.4
2019,610000,10000,1,1,2,1,21.21
2016,305000,60000,1,1,1,2,22.74
2016,315000,51500,1,1,1,1,25.17
2016,250000,60000,2,1,1,2,22.1
2018,950000,30000,2,1,1,1,23.0
2015,465000,50000,1,1,1,2,17.43
2019,700000,10000,2,1,1,1,24.0
2015,950000,120000,2,1,1,3,15.4
2017,610000,40000,1,1,1,1,18.6
2017,330000,90000,1,1,1,1,15.37
2019,585000,10000,1,1,1,1,21.21
2018,500000,10000,2,1,1,1,23.5
2019,360000,27000,1,1,1,1,23.95
2016,649000,70000,2,1,1,1,26.59
2017,200000,50000,1,1,1,1,16.8
2015,250000,100000,2,1,1,2,27.62
2018,1200000,50000,2,1,1,1,17.3
2015,465000,63063,1,2,2,1,18.9
2018,570000,80000,2,1,1,1,25.4
2017,700000,227000,1,1,1,1,17.5
2017,455000,60000,2,1,1,1,25.2
2017,570000,30000,1,1,1,1,18.6
2018,1576000,70000,2,1,1,1,13.68
2018,680000,8576,1,2,1,1,18.7
2017,525000,19723,1,2,2,1,20.3
2016,825000,21446,1,2,1,1,16.8
2017,750000,52289,2,2,1,1,25.1
2017,950000,52236,2,2,1,1,15.4
2017,950000,54470,2,2,1,1,15.4
2017,675000,25471,2,2,1,1,21.9
2019,490000,33928,1,2,1,1,23.84
2018,775000,59736,2,2,1,1,18.49
2016,475000,2118,1,2,1,1,19.4
2017,950000,61379,2,2,1,1,15.4
2016,400000,74381,1,2,1,1,21.79
